Sueño_horas,Actividad_física,Alimentación,Estilo_de_vida,Estrés_académico,Apoyo_familiar,Bienestar,Asistencia,Horas_estudio,Interés_académico,Rendimiento_académico,Promedio_acumulado,Carga_laboral,Beca,Deudor,Riesgo_deserción
7.745071229516849,Ocasional,Buena,Sedentario,Moderado,Moderado,Alto,100.0,10.704613418173718,Bajo,Bueno,12.325787346506177,Tiempo parcial,No,Sí,Riesgo alto
6.792603548243223,Nunca,Buena,Moderado,Bajo,Moderado,Muy Alto,93.29098440018336,15.137438166804063,Bajo,Excelente,14.566953208037965,No trabaja,No,Sí,Riesgo moderado
7.971532807151039,Ocasional,Excelente,Moderado,Muy Alto,Alto,Alto,77.58156838991525,18.752349309675473,Bajo,Deficiente,15.69663443940921,Tiempo parcial,Sí,No,Riesgo alto
9.284544784612038,Nunca,Deficiente,Moderado,Bajo,Alto,Moderado,81.18228803325957,14.734740040374469,Moderado,Excelente,13.845420999701235,No trabaja,No,Sí,Riesgo moderado
6.648769937914996,Regular,Regular,Moderado,Alto,Alto,Moderado,90.88436180240308,13.045558664138056,Alto,Bueno,13.623046362211017,No trabaja,No,Sí,Riesgo moderado
6.648794564576229,Frecuente,Excelente,Sedentario,Moderado,Alto,Alto,89.37506203473036,16.016381105287312,Moderado,Regular,11.142267699100675,No trabaja,No,No,Riesgo leve
9.368819223261088,Nunca,Buena,Activo,Moderado,Alto,Alto,79.22657984291666,18.485913103964265,Alto,Regular,16.714682991432568,Tiempo parcial,Sí,No,Riesgo leve
8.151152093729364,Frecuente,Buena,Moderado,Alto,Alto,Alto,69.90006829420793,9.464083650591197,Moderado,Deficiente,13.660213596664809,Tiempo parcial,Sí,Sí,Riesgo alto
6.295788421097572,Regular,Buena,Moderado,Bajo,Moderado,Alto,100.0,16.303280773526012,Alto,Deficiente,15.074730849869649,Tiempo parcial,No,Sí,Riesgo moderado
7.8138400653789475,Ocasional,Buena,Sedentario,Alto,Muy Alto,Alto,83.58850327657194,21.587704095087,Alto,Bueno,15.345440975720281,Tiempo completo,Sí,Sí,Riesgo moderado
6.304873460781307,Nunca,Excelente,Activo,Alto,Moderado,Muy Alto,81.7426110681738,17.868284816383575,Alto,Deficiente,12.743403015964494,Tiempo parcial,No,No,Riesgo alto
6.301405369644614,Regular,Excelente,Activo,Alto,Muy Alto,Alto,86.13334463905302,15.28877073333614,Alto,Regular,13.604942791417571,Tiempo parcial,No,Sí,Riesgo moderado
7.362943407349051,Regular,Buena,Sedentario,Moderado,Moderado,Alto,82.57271410688972,18.198687533494475,Moderado,Bueno,16.668964701487006,No trabaja,No,No,Riesgo leve
4.130079633013303,Regular,Regular,Moderado,Muy Alto,Muy Alto,Moderado,86.22728907705483,17.26248228051341,Muy Alto,Bueno,11.76560466851911,No trabaja,No,Sí,Riesgo moderado
4.412623251230451,Nunca,Excelente,Sedentario,Alto,Bajo,Alto,97.8694728611642,18.76800554579907,Moderado,Bueno,18.255836149514515,No trabaja,Sí,Sí,Riesgo moderado
6.1565687061385415,Nunca,Deficiente,Moderado,Muy Alto,Moderado,Muy Alto,83.75451520313577,4.880341945085277,Moderado,Regular,12.510254429447452,Tiempo parcial,No,No,Riesgo alto
5.480753319498364,Ocasional,Regular,Sedentario,Moderado,Bajo,Moderado,73.37289560672238,7.232719331683674,Moderado,Bueno,11.640965086718976,No trabaja,No,Sí,Riesgo alto
7.471370998892911,Ocasional,Excelente,Moderado,Alto,Alto,Alto,83.38356205521389,20.024145747416185,Alto,Excelente,14.26461804137707,No trabaja,No,Sí,Riesgo leve
5.637963886718183,Ocasional,Regular,Moderado,Muy Alto,Muy Alto,Alto,80.3559821859009,7.473604119192797,Alto,Bueno,18.416696528679743,Tiempo parcial,No,No,Riesgo moderado
4.881544447997063,Ocasional,Regular,Moderado,Muy Alto,Alto,Bajo,99.23898937246851,17.007693178596025,Alto,Excelente,10.178068128815589,No trabaja,No,No,Riesgo moderado
9.19847315338233,Regular,Regular,Moderado,Moderado,Muy Alto,Alto,96.7111906473757,13.23975171983854,Moderado,Bueno,13.717968563020616,Tiempo parcial,No,No,Riesgo leve
6.661335549270197,Frecuente,Excelente,Moderado,Moderado,Alto,Moderado,86.07525000430799,10.019053772020015,Bajo,Bueno,14.952530034513112,Tiempo parcial,Sí,Sí,Riesgo moderado
7.101292307031886,Ocasional,Buena,Moderado,Moderado,Alto,Muy Alto,72.21264145180743,16.748248785737367,Muy Alto,Bueno,14.067299917071063,No trabaja,No,No,Sin riesgo
4.862877720679815,Frecuente,Buena,Sedentario,Moderado,Muy Alto,Muy Alto,72.74107736560055,16.00516751858285,Alto,Deficiente,14.76384334000602,No trabaja,No,No,Riesgo moderado
6.183425913212226,Ocasional,Regular,Sedentario,Moderado,Moderado,Moderado,85.15123261584553,25.55171326048189,Moderado,Regular,12.563933835655451,No trabaja,Sí,No,Riesgo moderado
7.166383884564799,Ocasional,Buena,Activo,Moderado,Alto,Moderado,88.3632296932128,11.875943977320553,Alto,Deficiente,12.800556308137239,No trabaja,No,No,Riesgo moderado
5.273509633866546,Ocasional,Buena,Sedentario,Muy Alto,Muy Alto,Alto,81.25377180673945,22.20055060034587,Moderado,Deficiente,13.7031547056816,Tiempo parcial,Sí,No,Riesgo moderado
7.563547027518508,Regular,Regular,Moderado,Bajo,Muy Alto,Moderado,80.19830415792765,16.762114571921572,Bajo,Regular,11.740223824194498,Tiempo parcial,No,Sí,Riesgo alto
6.099041965121793,Frecuente,Buena,Activo,Alto,Muy Alto,Bajo,79.07200766821353,11.694890592286438,Moderado,Excelente,13.91062719711962,No trabaja,Sí,Sí,Riesgo moderado
6.562459375310085,Regular,Regular,Moderado,Moderado,Muy Alto,Alto,84.76606039756054,18.996232287586224,Moderado,Regular,13.222509412656997,No trabaja,Sí,Sí,Riesgo moderado
6.097440081655905,Ocasional,Excelente,Moderado,Moderado,Moderado,Moderado,61.172376479269346,17.828692522269755,Moderado,Excelente,13.059909629690264,Tiempo parcial,No,No,Riesgo moderado
9.778417276763406,Regular,Buena,Moderado,Bajo,Muy Alto,Moderado,73.98673371230291,15.179216474290246,Muy Alto,Bueno,14.641012825197276,No trabaja,No,No,Riesgo leve
6.979754162893099,Nunca,Excelente,Activo,Moderado,Alto,Muy Alto,78.7294915455265,16.33147678220312,Alto,Regular,10.358681013601393,No trabaja,No,No,Riesgo moderado
5.41343360656615,Frecuente,Regular,Activo,Alto,Muy Alto,Muy Alto,97.0750319495192,12.015064844772342,Alto,Bueno,13.541819793233692,Tiempo parcial,Sí,No,Riesgo leve
8.233817368154783,Regular,Buena,Moderado,Muy Alto,Alto,Alto,76.8618635807107,10.871064373727465,Alto,Regular,18.634707531229722,Tiempo parcial,No,No,Riesgo moderado
5.168734525043467,Ocasional,Buena,Sedentario,Moderado,Alto,Muy Alto,86.80468141831207,18.797210869112916,Muy Alto,Excelente,11.82778062734875,Tiempo parcial,Sí,No,Riesgo leve
7.313295392507133,Regular,Buena,Moderado,Moderado,Alto,Moderado,87.26542750930996,13.88030287843363,Bajo,Bueno,16.571000992968827,Tiempo parcial,Sí,No,Riesgo leve
4.060494814180337,Regular,Excelente,Moderado,Moderado,Moderado,Moderado,97.97916505660763,14.599585008754538,Muy Alto,Deficiente,14.109312241825398,No trabaja,Sí,No,Riesgo leve
5.007720926652354,Nunca,Regular,Moderado,Muy Alto,Bajo,Moderado,97.6257740696415,16.399107979721386,Alto,Excelente,12.794084382237164,Tiempo parcial,Sí,No,Riesgo moderado
7.295291853803685,Regular,Regular,Sedentario,Alto,Muy Alto,Alto,84.42497031205083,16.32644172391904,Bajo,Bueno,11.358716680940386,No trabaja,No,No,Riesgo moderado
8.107699869993116,Ocasional,Buena,Sedentario,Alto,Muy Alto,Muy Alto,80.24515258810557,7.853367645129676,Moderado,Deficiente,14.279363930570463,Tiempo parcial,No,No,Riesgo alto
7.257052421784956,Regular,Buena,Activo,Alto,Moderado,Alto,78.3616689717431,21.431260432274293,Alto,Bueno,16.906794211629354,Tiempo completo,Sí,No,Riesgo moderado
6.826527576417639,Regular,Buena,Moderado,Alto,Muy Alto,Muy Alto,82.5893677753422,15.605910759503391,Alto,Bueno,13.221577709606473,No trabaja,No,No,Riesgo leve
6.548344456616067,Regular,Regular,Moderado,Bajo,Alto,Alto,80.659666456764,13.986733685889252,Moderado,Regular,13.838077150526454,No trabaja,Sí,No,Riesgo leve
4.782217014448859,Regular,Buena,Moderado,Moderado,Alto,Moderado,90.53627409358232,17.154230025848733,Alto,Bueno,16.020741700380665,No trabaja,No,No,Sin riesgo
5.920233687407937,Regular,Regular,Activo,Muy Alto,Moderado,Alto,89.20309817485204,16.182710968074314,Alto,Deficiente,14.681741582692561,No trabaja,No,Sí,Riesgo moderado
6.309041843560319,Nunca,Buena,Moderado,Alto,Muy Alto,Bajo,90.91801191145015,18.83531344744851,Moderado,Bueno,10.855448440550843,No trabaja,Sí,No,Riesgo moderado
8.585683339328373,Regular,Buena,Moderado,Alto,Alto,Bajo,97.59283711436169,17.689918360754707,Muy Alto,Deficiente,14.197774431710368,Tiempo parcial,No,Sí,Riesgo alto
7.515427434352692,Ocasional,Buena,Sedentario,Alto,Alto,Alto,100.0,18.589231144981333,Muy Alto,Excelente,17.024469821331195,Tiempo completo,Sí,No,Riesgo leve
4.355439766955899,Ocasional,Regular,Moderado,Moderado,Alto,Alto,86.24663393407558,21.75496952863758,Alto,Bueno,13.926117627065004,No trabaja,No,No,Sin riesgo
7.486125954092192,Ocasional,Buena,Activo,Alto,Bajo,Alto,95.99463771395654,19.41812274485486,Muy Alto,Regular,8.517021141045246,No trabaja,Sí,No,Riesgo moderado
6.422376579375525,Nunca,Regular,Moderado,Alto,Alto,Alto,81.48339816165785,14.197568898357186,Bajo,Regular,14.776429983182146,No trabaja,No,Sí,Riesgo alto
5.984616999541062,Regular,Regular,Moderado,Moderado,Moderado,Moderado,96.85006983583015,9.385494219615836,Bajo,Regular,13.603087120911928,No trabaja,No,No,Riesgo moderado
